n-gram,count
"('п', 'п', 'п', 'п', 'п', 'п', 'п', 'п')",17
"('ознакомьтесь', 'таблицей', 'расскажите', 'основных', 'видах', 'грамматических', 'ошибок', 'обусловленных')",5
"('таблицей', 'расскажите', 'основных', 'видах', 'грамматических', 'ошибок', 'обусловленных', 'нарушением')",5
"('расскажите', 'основных', 'видах', 'грамматических', 'ошибок', 'обусловленных', 'нарушением', 'норм')",5
"('основных', 'видах', 'грамматических', 'ошибок', 'обусловленных', 'нарушением', 'норм', 'образования')",5
"('1', 'рассмотрите', 'таблицу', 'подготовьте', 'устное', 'сообщение', 'правописание', 'гласных')",4
"('видах', 'грамматических', 'ошибок', 'обусловленных', 'нарушением', 'норм', 'образования', 'употребления')",3
"('грамматических', 'ошибок', 'обусловленных', 'нарушением', 'норм', 'образования', 'употребления', 'форм')",3
"('ошибок', 'обусловленных', 'нарушением', 'норм', 'образования', 'употребления', 'форм', 'имён')",3
"('рассмотрите', 'таблицу', 'подготовьте', 'устное', 'сообщение', 'правописание', 'гласных', 'суффиксами')",3
"('укажите', 'ряды', 'которых', 'месте', 'пропусков', 'пишется', 'одна', 'та')",3
"('ряды', 'которых', 'месте', 'пропусков', 'пишется', 'одна', 'та', 'буква')",3
"('которых', 'месте', 'пропусков', 'пишется', 'одна', 'та', 'буква', '1')",3
"('земле', 'устраивают', 'гнёзда', 'лесные', 'жаворонки', 'светлых', 'опушках', 'вьют')",2
"('устраивают', 'гнёзда', 'лесные', 'жаворонки', 'светлых', 'опушках', 'вьют', 'гнёзда')",2
"('гнёзда', 'лесные', 'жаворонки', 'светлых', 'опушках', 'вьют', 'гнёзда', 'овсянки')",2
"('государственные', 'органы', 'органы', 'местного', 'управления', 'самоуправления', 'предприятия', 'учреждения')",2
"('органы', 'органы', 'местного', 'управления', 'самоуправления', 'предприятия', 'учреждения', 'организации')",2
"('органы', 'местного', 'управления', 'самоуправления', 'предприятия', 'учреждения', 'организации', 'общественные')",2
"('местного', 'управления', 'самоуправления', 'предприятия', 'учреждения', 'организации', 'общественные', 'объединения')",2
