n-gram,count
"('прочитайте', 'текст')",49
"('решая', 'орфографические')",40
"('подготовьте', 'устное')",38
"('устное', 'сообщение')",38
"('ê', 'р')",38
"('ð', 'р')",36
"('частей', 'речи')",36
"('части', 'речи')",35
"('обратите', 'внимание')",33
"('рассмотрите', 'таблицу')",33
"('русском', 'языке')",29
"('пунктуационные', 'задачи')",29
"('орфографические', 'пунктуационные')",27
"('н', 'н')",27
"('пропущенные', 'буквы')",26
"('р', 'з')",25
"('п', 'п')",25
"('имён', 'существительных')",25
"('спишите', 'предложения')",25
"('м', 'пришвин')",24
